StudentName,StudentNumber,CourseName,CourseCode,Grades,CourseWeight,Instructor,Department,UniversityName,Location,Ranking
Robert Collins,194961,COMMUNICATION DISORDERS SCIENCES AND SERVICES,2599,69,1.0,Kevin Richardson,Health,University of the Witwatersrand,South Africa,93
John Mendoza,199276,ENGINEERING MECHANICS PHYSICS AND SCIENCE,1903,33,1.0,Joan Schell,Psychology & Social Work,Chung-Ang University,South Korea,223
Margie Remington,683057,MISCELLANEOUS ENGINEERING,2306,49,0.5,Lura Leighty,Law & Public Policy,Vienna University of Technology,Austria,645
Cynthia Smith,627826,ENGINEERING TECHNOLOGIES,5599,90,0.5,Michael Petersen,Communications & Journalism,University of Salamanca,Spain,360
James Brooks,966330,MISCELLANEOUS PSYCHOLOGY,2310,96,0.5,Joseph Mercer,Agriculture & Natural Resources,Brunel University London,United Kingdom,446
David Atkinson,686855,LINGUISTICS AND COMPARATIVE LANGUAGE AND LITERATURE,2308,6,1.0,Columbus Scott,Physical Sciences,Free University of Berlin,Germany,791
Jonathan Haffner,379910,LINGUISTICS AND COMPARATIVE LANGUAGE AND LITERATURE,4101,71,1.0,Alisha Miles,Humanities & Liberal Arts,Istanbul Technical University,Turkey,570
Garrett Harris,132645,MINING AND MINERAL ENGINEERING,2105,28,0.5,Darrell Etherton,Physical Sciences,National Chung Cheng University,Taiwan,289
Tina Mangrum,409353,COMPUTER NETWORKING AND TELECOMMUNICATIONS,5007,69,0.5,Helen Berner,Humanities & Liberal Arts,University of Crete,Greece,738
Debra Shaw,281483,ENGINEERING TECHNOLOGIES,3699,97,1.0,Jo Malinowski,Biology & Life Science,Indian Institute of Technology Madras,India,652
Patricia Callender,791318,MECHANICAL ENGINEERING,3301,80,1.0,Lance Fossum,Humanities & Liberal Arts,Montana State University,United States of America,371
Jack Jenkins,962066,AEROSPACE ENGINEERING,5501,94,0.5,Bernard Tomlin,Education,"University of Tennessee, Knoxville",United States of America,101
Aurora Dominguez,154298,MATHEMATICS AND COMPUTER SCIENCE,5000,49,0.5,Matthew Coleman,Computers & Mathematics,University of Toronto,Canada,178
Gregory Byrd,656253,GEOGRAPHY,3201,62,1.0,Rene Page,Industrial Arts & Consumer Services,University of Montana,United States of America,573
Sandra Wong,235988,SOCIAL WORK,2314,71,1.0,Mary Jones,Psychology & Social Work,Liverpool John Moores University,United Kingdom,273
Howard Martin,147442,UNITED STATES HISTORY,1105,16,1.0,Loretta Hopkins,Engineering,Georgia Institute of Technology,United States of America,238
Margret McKenzie,557850,SOCIAL PSYCHOLOGY,6205,27,1.0,Carly Donaldson,Business,Mahidol University,Thailand,582
Heather Allen,688307,COMMUNICATIONS,3606,75,1.0,Ricky Martin,Business,Bangor University,United Kingdom,87
Patrick Dawson,604129,BUSINESS ECONOMICS,5501,65,0.5,Linda Steger,Social Science,Tampere University of Technology,Finland,249
Eugene Baird,521632,AREA ETHNIC AND CIVILIZATION STUDIES,1902,6,0.5,David Hammonds,Biology & Life Science,University of Ulsan,South Korea,124
Johnathan Danner,445519,"NUCLEAR, INDUSTRIAL RADIOLOGY, AND BIOLOGICAL TECHNOLOGIES",2301,71,0.5,Richard Moore,Business,"University of Chemistry and Technology, Prague",Czech Republic,403
Eleanor Deleon,969624,"NUCLEAR, INDUSTRIAL RADIOLOGY, AND BIOLOGICAL TECHNOLOGIES",6403,44,1.0,Ada Burger,Education,"University of California, Irvine",United States of America,42
Gladys Blankenship,530365,VISUAL AND PERFORMING ARTS,2601,75,1.0,Martha Cline,Physical Sciences,Ocean University of China,China,38
Blake Lucas,438151,TEACHER EDUCATION: MULTIPLE LEVELS,6203,78,0.5,Jimmy Farmer,Physical Sciences,Emory University,United States of America,481
Joan Morton,704937,MISCELLANEOUS AGRICULTURE,5402,15,1.0,Raymond Stork,Computers & Mathematics,"Birla Institute of Technology and Science, Pilani",India,191
Sandra Schweiger,814040,NAVAL ARCHITECTURE AND MARINE ENGINEERING,5200,62,1.0,Sheila Ham,Social Science,I-Shou University,Taiwan,398
Lance Acosta,379347,MATERIALS SCIENCE,1901,40,1.0,Jason Smith,Physical Sciences,Aligarh Muslim University,India,789
Dalton Norfleet,921956,COMPUTER AND INFORMATION SYSTEMS,1902,48,0.5,Thomas Adolph,Social Science,Charles University in Prague,Czech Republic,209
Ronnie Hicks,954880,COMMUNICATIONS,2602,100,1.0,Kerri Syed,Education,Ulm University,Germany,198
Loren Wilson,819913,COGNITIVE SCIENCE AND BIOPSYCHOLOGY,2400,99,1.0,Roger Dixon,Computers & Mathematics,University of Helsinki,Finland,390
Joyce Webb,348601,FINANCE,5201,63,1.0,Dorothy Spaulding,Business,Lehigh University,United States of America,508
Samuel Mullin,760265,"NUCLEAR, INDUSTRIAL RADIOLOGY, AND BIOLOGICAL TECHNOLOGIES",1101,77,0.5,Thomas Martinez,Industrial Arts & Consumer Services,Federal University of Rio de Janeiro,Brazil,699
Melanie Williams,300092,COMMERCIAL ART AND GRAPHIC DESIGN,6104,33,0.5,Katrina McKinney,Humanities & Liberal Arts,University of Hohenheim,Germany,106
Jason Smith,722965,VISUAL AND PERFORMING ARTS,2305,76,1.0,Henry Steward,Biology & Life Science,University of Nice Sophia Antipolis,France,728
Helen Smith,373147,SOCIOLOGY,5001,82,1.0,Loren Wilson,Business,Brno University of Technology,Czech Republic,444
Robert Marsh,771460,ELEMENTARY EDUCATION,6110,62,0.5,Lucy Savory,Engineering,Dublin City University,Republic of Ireland,358
Robin Bradley,343152,COMMUNICATIONS,6107,65,1.0,Suzette Childs,Engineering,University of Nottingham,United Kingdom,158
Roberto Hathaway,106473,CONSTRUCTION SERVICES,2314,97,0.5,Becky Velez,Arts,University of Maribor,Slovenia,724
William Norris,971917,PHILOSOPHY AND RELIGIOUS STUDIES,3606,46,0.5,Velma Maxey,Psychology & Social Work,Osaka Prefecture University,Japan,22
Keith Smith,807952,CONSTRUCTION SERVICES,2405,43,0.5,Eric Grimes,Business,"Binghamton University, State University of New York",United States of America,609
Jacob Truong,717716,INDUSTRIAL PRODUCTION TECHNOLOGIES,6199,90,1.0,Kerri Syed,Communications & Journalism,Aristotle University of Thessaloniki,Greece,292
Emma Richards,719345,COMMERCIAL ART AND GRAPHIC DESIGN,5404,81,0.5,Geneva Lindsey,Social Science,Universite du Quebec a Montreal,Canada,625
Christopher Durant,517665,ENGINEERING AND INDUSTRIAL MANAGEMENT,4801,39,1.0,Betty King,Education,Korea University,South Korea,96
Tiffiny Lough,899952,NEUROSCIENCE,5500,91,0.5,Mary Lucey,Communications & Journalism,Universiti Kebangsaan Malaysia,Malaysia,407
Alyse Wong,701497,MECHANICAL ENGINEERING RELATED TECHNOLOGIES,2308,85,0.5,Joan Morton,Physical Sciences,University of Reading,United Kingdom,792
Robert Bohrer,634859,PSYCHOLOGY,5201,3,0.5,Joe Smith,Humanities & Liberal Arts,De Montfort University,United Kingdom,82
Amanda Coon,632004,ECONOMICS,2105,84,0.5,Phyllis Briggs,Engineering,University of Tampere,Finland,262
Lisa Gipson,107886,LIBRARY SCIENCE,2416,58,1.0,Jane Moon,Physical Sciences,Erasmus University Rotterdam,Netherlands,142
Lillian Cleveland,897514,INFORMATION SCIENCES,5403,70,0.5,Jennifer Thomas,Health,Massachusetts Institute of Technology,United States of America,460
Lorie Lagunas,417855,SOCIAL PSYCHOLOGY,5201,34,1.0,Mary Peterson,Engineering,Paris-Sud University,France,676
Jennifer Collins,628841,AEROSPACE ENGINEERING,1100,6,0.5,Sarah Grice,Computers & Mathematics,University of Waterloo,Canada,52
Ruth Bullock,329824,SOCIOLOGY,2301,60,1.0,Susie Stites,Biology & Life Science,Stony Brook University,United States of America,729
Hazel Sims,698300,ART AND MUSIC EDUCATION,6102,57,0.5,Eileen Pierce,Humanities & Liberal Arts,Savitribai Phule Pune University,India,352
Scott Peterson,128674,HUMAN RESOURCES AND PERSONNEL MANAGEMENT,3302,1,1.0,Diane King,Arts,Chang Gung University,Taiwan,118
Harold Estrada,435589,ATMOSPHERIC SCIENCES AND METEOROLOGY,2410,50,0.5,Veronica Day,Education,University of Parma,Italy,355
Lee Sailor,402605,PHYSICAL AND HEALTH EDUCATION TEACHING,5004,63,1.0,Megan Castillo,Engineering,University of Kiel,Germany,376
Freddy Hartman,147603,MINING AND MINERAL ENGINEERING,5005,37,1.0,Edward Tanner,Education,National Autonomous University of Mexico,Mexico,439
Lupe Oliver,506697,LIBERAL ARTS,6202,51,0.5,Stephanie Ford,Education,Hong Kong Baptist University,Hong Kong,631
Patricia Ware,767218,ANTHROPOLOGY AND ARCHEOLOGY,2416,36,1.0,James Brennan,Biology & Life Science,University of Amsterdam,Netherlands,252
Douglas Rodriguez,883155,INTERCULTURAL AND INTERNATIONAL STUDIES,6100,20,1.0,Marion Wiggin,Law & Public Policy,University of Oviedo,Spain,533
Susan Martin,750693,BOTANY,6211,1,0.5,Carly Donaldson,Agriculture & Natural Resources,University of Groningen,Netherlands,618
Bernice Roudebush,783736,ECOLOGY,2410,3,0.5,Martha Cline,Biology & Life Science,Keio University,Japan,420
Clara Holloman,317403,SECONDARY TEACHER EDUCATION,4101,27,0.5,Leon Dana,Engineering,Imperial College London,United Kingdom,539
Alisha Miles,996568,ADVERTISING AND PUBLIC RELATIONS,6004,97,0.5,Jessie Thomas,Arts,University of Chile,Chile,536
Lucy Savory,441887,MISCELLANEOUS BIOLOGY,2411,28,0.5,Robert Long,Physical Sciences,"University of Maryland, College Park",United States of America,449
Susan Powell,664592,NAVAL ARCHITECTURE AND MARINE ENGINEERING,2312,8,0.5,Cynthia Schreiber,Business,National Sun Yat-Sen University,Taiwan,679
Frances Coleman,227769,AGRICULTURAL ECONOMICS,1901,8,1.0,Roseann Mitchell,Arts,University of Minnesota,United States of America,275
Michele Stockton,837678,LANGUAGE AND DRAMA EDUCATION,2404,23,0.5,Robert Woods,Industrial Arts & Consumer Services,Konkuk University,South Korea,361
Miguel Tyler,386465,TEACHER EDUCATION: MULTIPLE LEVELS,6211,98,1.0,Maya Bowers,Business,University of Luxembourg,Luxembourg,302
William Rosen,602049,JOURNALISM,6207,25,1.0,Stephanie Wright,Psychology & Social Work,University of Pisa,Italy,553
Nicholas Patridge,202455,MANAGEMENT INFORMATION SYSTEMS AND STATISTICS,6102,78,0.5,Faustino Vicknair,Health,RWTH Aachen University,Germany,242
Bernard McCulley,155463,SOCIAL SCIENCE OR HISTORY TEACHER EDUCATION,3202,99,1.0,Eduardo Hall,Health,Kyushu Institute of Technology,Japan,248
James Dillon,179363,ECONOMICS,1901,68,1.0,Shannon Richardson,Business,Universiti Teknologi Malaysia,Malaysia,427
Marianne Crockett,234412,ELECTRICAL ENGINEERING,2404,92,0.5,Robert Wells,Health,University of Konstanz,Germany,120
Walter Gooding,851156,ARCHITECTURE,2399,93,0.5,Dorothy Spaulding,Psychology & Social Work,University of Dhaka,Bangladesh,592
Lana Fager,261930,FOOD SCIENCE,6103,84,1.0,George Brooks,Engineering,V.N. Karazin Kharkiv National University,Ukraine,103
David Chess,320087,THEOLOGY AND RELIGIOUS VOCATIONS,3601,49,1.0,Maria Delgado,Agriculture & Natural Resources,Leibniz University of Hanover,Germany,240
Amber Hall,655728,SOCIOLOGY,6110,11,1.0,William Johnson,Engineering,University of Sydney,Australia,686
Floyd Kay,574074,MATERIALS ENGINEERING AND MATERIALS SCIENCE,1101,97,0.5,Gary Goldstein,Biology & Life Science,Iran University of Science and Technology,Iran,98
Lucy Savory,995288,INTERCULTURAL AND INTERNATIONAL STUDIES,5402,14,1.0,Rodney Plumb,Engineering,Jordan University of Science and Technology,Jordan,24
Susan Lowell,716898,COMPUTER AND INFORMATION SYSTEMS,2504,95,1.0,Tony Ragsdale,Industrial Arts & Consumer Services,University of Warsaw,Poland,654
Leonard Lonergan,674660,AGRICULTURAL ECONOMICS,2404,55,0.5,Maureen King,Arts,University College Dublin,Republic of Ireland,181
Bianca Vargas,673697,AGRICULTURAL ECONOMICS,5003,73,0.5,William Norris,Education,Paris-Sorbonne University - Paris 4,France,314
Nancy Vickers,956943,COMMUNICATION TECHNOLOGIES,2307,53,0.5,Clifford Ladouceur,Agriculture & Natural Resources,Makerere University,Uganda,264
Jack Wilson,280597,ARCHITECTURE,2300,35,1.0,Lucille Humble,Humanities & Liberal Arts,City University London,United Kingdom,73
Freddy Hartman,539905,FRENCH GERMAN LATIN AND OTHER COMMON FOREIGN LANGUAGE STUDIES,3801,39,0.5,Joyce Webb,Engineering,Georgetown University,United States of America,161
Charlene Kane,335499,GENERAL MEDICAL AND HEALTH SERVICES,6002,25,0.5,Julian Kay,Biology & Life Science,University of Lincoln,United Kingdom,122
Ralph Williams,308006,ARCHITECTURE,5505,45,0.5,Paul Walton,Education,Tomsk State University,Russian Federation,706
Timothy Moore,420562,PUBLIC POLICY,1303,49,1.0,Clara Holloman,Biology & Life Science,Sapienza University of Rome,Italy,485
Patricia Huff,556812,"ELECTRICAL, MECHANICAL, AND PRECISION TECHNOLOGIES AND PRODUCTION",2413,73,0.5,Bernice Roudebush,Engineering,National Cheng Kung University,Taiwan,35
Iris Rodrigues,782961,GEOGRAPHY,3608,63,1.0,Robin Bradley,Psychology & Social Work,Radboud University Nijmegen,Netherlands,790
Debra Boatright,175619,MATHEMATICS,3609,11,1.0,Sarah Tate,Engineering,University of Western Ontario,Canada,512
Sherry Taylor,609144,COUNSELING PSYCHOLOGY,1401,31,0.5,Aurora Dominguez,Humanities & Liberal Arts,Monterrey Institute of Technology and Higher Education,Mexico,447
Shelley Lubbers,885082,FORESTRY,1103,28,1.0,Kimberly Hays,Engineering,University of Wollongong,Australia,451
Blake Scanlan,671607,HUMAN RESOURCES AND PERSONNEL MANAGEMENT,2407,99,1.0,Roberto Hathaway,Social Science,Ajou University,South Korea,340
Victor Hang,265153,PHYSIOLOGY,6102,21,0.5,Eleanor Deleon,Computers & Mathematics,Ohio University,United States of America,666
Darrell Etherton,194508,MULTI/INTERDISCIPLINARY STUDIES,2106,1,0.5,Adela Kowalski,Education,Tokyo University of Science,Japan,601
Nell Reid,479108,ECONOMICS,3801,99,0.5,Dana Cooper,Social Science,Federal University of Bahia,Brazil,495
Susan Bacon,981831,MINING AND MINERAL ENGINEERING,2403,8,0.5,Judy Nichols,Physical Sciences,Creighton University,United States of America,482
Ulysses Bennett,143608,NURSING,5006,19,1.0,Clyde Navarre,Humanities & Liberal Arts,China University of Petroleum (Beijing),China,285
Robert Meister,653258,PUBLIC POLICY,2503,44,1.0,Mary Morgan,Business,Belarusian State University,Belarus,269
Mark Thompson,190495,COMMUNICATION TECHNOLOGIES,3603,5,1.0,James Weymouth,Engineering,Chinese University of Hong Kong,Hong Kong,607
Kenneth An,535548,ANTHROPOLOGY AND ARCHEOLOGY,4801,42,0.5,Cora Marguez,Engineering,George Washington University,United States of America,229
Irene Wagner,116159,COMMUNICATION DISORDERS SCIENCES AND SERVICES,5507,60,0.5,Charles Hanrahan,Business,University of Massachusetts,United States of America,733
Jarrod Sera,798229,TEACHER EDUCATION: MULTIPLE LEVELS,2408,38,1.0,Barbara Scott,Business,Karolinska Institute,Sweden,86
John Westerfield,681659,PSYCHOLOGY,6209,22,0.5,Lucille Humble,Arts,University of Oxford,United Kingdom,324
Kay Scott,830468,PLANT SCIENCE AND AGRONOMY,2603,68,1.0,Kenneth An,Agriculture & Natural Resources,"Royal Holloway, University of London",United Kingdom,497
Charlie Tarin,666170,CRIMINOLOGY,2415,51,1.0,Patricia Judd,Computers & Mathematics,University of Illinois at Chicago,United States of America,517
Angie Nadler,723307,MISCELLANEOUS ENGINEERING TECHNOLOGIES,6103,53,0.5,Brian Bell,Engineering,New Mexico State University,United States of America,672
John Barber,457138,ECOLOGY,1106,100,1.0,George Collins,Computers & Mathematics,Federal University of Rio Grande do Sul,Brazil,357
Cynthia Schreiber,188326,SOCIAL WORK,5701,43,0.5,Mary Carroll,Engineering,University of Coimbra,Portugal,689
Douglas Melton,203064,INDUSTRIAL AND MANUFACTURING ENGINEERING,4006,7,1.0,Michele Shead,Health,University of Milan,Italy,624
Brittany Plumley,142682,BUSINESS ECONOMICS,6206,51,0.5,Paula Wright,Industrial Arts & Consumer Services,Paris Descartes University,France,303
Retha Smith,718381,TEACHER EDUCATION: MULTIPLE LEVELS,2602,38,0.5,James Carswell,Engineering,Aalto University,Finland,221
Michael Davis,428085,MISCELLANEOUS AGRICULTURE,5501,34,0.5,Iris Rodrigues,Engineering,Queen Mary University of London,United Kingdom,92
Richard Crossley,316270,LIBRARY SCIENCE,2301,82,0.5,Bertha Walker,Psychology & Social Work,University of Dundee,United Kingdom,459
Raymond Binkley,749567,NUCLEAR ENGINEERING,2416,20,1.0,James McDaniel,Education,University of Hull,United Kingdom,320
Helen Hood,850912,LANGUAGE AND DRAMA EDUCATION,1100,7,1.0,Howard Woodall,Agriculture & Natural Resources,Claude Bernard University Lyon 1,France,661
Travis Thurman,877887,STATISTICS AND DECISION SCIENCE,3401,70,1.0,Gladys Wagner,Psychology & Social Work,University of Antioquia,Colombia,307
Samuel Fava,266298,PHYSICAL AND HEALTH EDUCATION TEACHING,2504,88,0.5,Darrell Etherton,Physical Sciences,University of Otago,New Zealand,105
Joseph Ford,354676,GEOGRAPHY,5404,75,0.5,Jerry Monk,Communications & Journalism,Sheffield Hallam University,United Kingdom,762
Charles Allen,216745,ZOOLOGY,5098,86,0.5,Lorene Calkins,Biology & Life Science,Jadavpur University,India,393
Danny Lofton,944394,MEDICAL ASSISTING SERVICES,2404,47,1.0,James Jones,Law & Public Policy,Pontifical Catholic University of Valparaíso,Chile,774
Samuel Mullin,752941,ARCHITECTURAL ENGINEERING,1105,4,0.5,Richard Eng,Physical Sciences,Tilburg University,Netherlands,662
Robert Bellamy,155524,COMPUTER PROGRAMMING AND DATA PROCESSING,6002,71,1.0,Francis Sanders,Engineering,Stockholm University,Sweden,479
Clara Spence,454247,AGRICULTURE PRODUCTION AND MANAGEMENT,5201,97,1.0,Boris Knott,Biology & Life Science,Oklahoma State University,United States of America,503
Donald Kay,137491,NATURAL RESOURCES MANAGEMENT,1101,3,1.0,Teresa Huntley,Industrial Arts & Consumer Services,China Agricultural University,China,381
Earl Henry,271402,AREA ETHNIC AND CIVILIZATION STUDIES,5500,92,1.0,Alan Perez,Law & Public Policy,Yuan Ze University,Taiwan,382
Julian Kay,404046,PETROLEUM ENGINEERING,2603,31,0.5,Jerry Black,Business,University of South Florida,United States of America,525
Leonard Bonk,415217,MATHEMATICS TEACHER EDUCATION,2419,18,1.0,Kelly Johnson,Business,Pierre and Marie Curie University,France,162
Kenneth Williams,749833,PETROLEUM ENGINEERING,2408,27,1.0,Marie Clark,Health,ETH Zurich - Swiss Federal Institute of Technology Zurich,Switzerland,604
Christopher Yarger,501744,MUSIC,2500,89,0.5,Diana Clouse,Arts,Cardiff University,United Kingdom,175
Alicia Thompson,131108,ASTRONOMY AND ASTROPHYSICS,6104,76,1.0,Dean Hanson,Health,University of Wyoming,United States of America,81
Bertha Henderson,859342,COMMUNICATIONS,5200,6,0.5,Ernestine Crowe,Education,National Tsing Hua University,Taiwan,563
Louise Hamm,474837,SOCIAL PSYCHOLOGY,5007,87,0.5,Stephanie Burrell,Industrial Arts & Consumer Services,University of Munster,Germany,744
Nicholas Patridge,275376,CHEMISTRY,2107,15,0.5,Earl Henry,Communications & Journalism,University of Colorado Boulder,United States of America,294
Loretta Hopkins,732208,COMMUNICATIONS,2413,38,0.5,Patricia Floyd,Engineering,Boston College,United States of America,424
Richard Moore,846847,LIBRARY SCIENCE,3702,40,0.5,Delores Garcia,Humanities & Liberal Arts,KU Leuven,Belgium,628
Suzette Childs,409331,STATISTICS AND DECISION SCIENCE,6206,86,0.5,Guillermo Cribb,Humanities & Liberal Arts,VU University Amsterdam,Netherlands,372
Sylvester Dudley,720684,INDUSTRIAL AND ORGANIZATIONAL PSYCHOLOGY,2107,53,0.5,Era Rivera,Psychology & Social Work,Harbin Institute of Technology,China,147
Retta Rowell,413884,HUMAN SERVICES AND COMMUNITY ORGANIZATION,2901,29,1.0,David Hughes,Business,Griffith University,Australia,478
Retha Smith,564294,PHYSICAL SCIENCES,1100,81,0.5,Nancy Elliott,Computers & Mathematics,University of Minho,Portugal,540
Richard Moe,839586,ANIMAL SCIENCES,5005,29,1.0,Boris Knott,Social Science,University of Portsmouth,United Kingdom,282
Carroll Rider,637793,HEALTH AND MEDICAL PREPARATORY PROGRAMS,3601,85,0.5,Velda Harris,Communications & Journalism,National Chung Hsing University,Taiwan,386
Richard Daniels,326387,BUSINESS MANAGEMENT AND ADMINISTRATION,2107,13,1.0,Kerri Syed,Industrial Arts & Consumer Services,Goethe University Frankfurt,Germany,534
Michelle Bland,758006,SOCIAL PSYCHOLOGY,1901,93,0.5,Susan Martin,Biology & Life Science,Tel Aviv University,Israel,736
Anderson Richardson,144390,GENERAL MEDICAL AND HEALTH SERVICES,2100,47,1.0,Patricia Ware,Law & Public Policy,United Arab Emirates University,United Arab Emirates,410
Elizabeth Smith,539526,COMPUTER PROGRAMMING AND DATA PROCESSING,1903,90,1.0,Peter Johnson,Social Science,Harvard University,United States of America,43
David Desantis,197315,PLANT SCIENCE AND AGRONOMY,2412,67,0.5,Dianne Place,Arts,University of Gothenburg,Sweden,611
